0.4.0.1862.1.1             = QC_EU_COMPLIANCE
0.4.0.1862.1.4             = QC_SSCD
0.9.2342.19200300.100.1.25 = DOMAIN_COMPONENT
1.2.840.10040              = X957
1.2.840.10040.4.1          = X957_DSA
1.2.840.10040.4.3          = X957_SHA1DSA
1.2.840.10045.2.1          = ECC_PUBLIC_KEY
1.2.840.10045.3.1.7        = ECC_CURVE_P256
1.2.840.10045.4.1          = ECDSA_SHA1
1.2.840.10045.4.3          = ECDSA_SPECIFIED
1.2.840.10045.4.3.2        = ECDSA_SHA256
1.2.840.10045.4.3.3        = ECDSA_SHA384
1.2.840.10045.4.3.4        = ECDSA_SHA512
1.2.840.10046              = ANSI_X942
1.2.840.10046.2.1          = ANSI_X942_DH
1.2.840.113549             = RSA
1.2.840.113549.1           = PKCS
1.2.840.113549.1.1         = PKCS_1
1.2.840.113549.1.1.1       = RSA_RSA
1.2.840.113549.1.1.2       = RSA_MD2RSA
1.2.840.113549.1.1.3       = RSA_MD4RSA
1.2.840.113549.1.1.4       = RSA_MD5RSA
1.2.840.113549.1.1.5       = RSA_SHA1RSA
1.2.840.113549.1.1.6       = RSA_SETOAEP_RSA
1.2.840.113549.1.1.7       = RSAES_OAEP
1.2.840.113549.1.1.8       = RSA_MGF1
1.2.840.113549.1.1.9       = RSA_PSPECIFIED
1.2.840.113549.1.1.10      = RSA_SSA_PSS
1.2.840.113549.1.1.11      = RSA_SHA256RSA
1.2.840.113549.1.1.12      = RSA_SHA384RSA
1.2.840.113549.1.1.13      = RSA_SHA512RSA
1.2.840.113549.1.2         = PKCS_2
1.2.840.113549.1.3         = PKCS_3
1.2.840.113549.1.3.1       = RSA_DH
1.2.840.113549.1.4         = PKCS_4
1.2.840.113549.1.5         = PKCS_5
1.2.840.113549.1.6         = PKCS_6
1.2.840.113549.1.7         = PKCS_7
1.2.840.113549.1.7.1       = RSA_data
1.2.840.113549.1.7.2       = RSA_signedData
1.2.840.113549.1.7.3       = RSA_envelopedData
1.2.840.113549.1.7.4       = RSA_signEnvData
1.2.840.113549.1.7.5       = RSA_digestedData
1.2.840.113549.1.7.6       = RSA_encryptedData
1.2.840.113549.1.8         = PKCS_8
1.2.840.113549.1.9         = PKCS_9
1.2.840.113549.1.9.1       = RSA_emailAddr
1.2.840.113549.1.9.2       = RSA_unstructName
1.2.840.113549.1.9.3       = RSA_contentType
1.2.840.113549.1.9.4       = RSA_messageDigest
1.2.840.113549.1.9.5       = RSA_signingTime
1.2.840.113549.1.9.6       = RSA_counterSign
1.2.840.113549.1.9.7       = RSA_challengePwd
1.2.840.113549.1.9.8       = RSA_unstructAddr
1.2.840.113549.1.9.9       = RSA_extCertAttrs
1.2.840.113549.1.9.14      = RSA_certExtensions
1.2.840.113549.1.9.15      = RSA_SMIMECapabilities
1.2.840.113549.1.9.15.1    = RSA_preferSignedData
1.2.840.113549.1.9.16.2.20 = Content Timestamp
1.2.840.113549.1.9.16.2.47 = ESS signing-certificate-v2
1.2.840.113549.1.9.16.3    = RSA_SMIMEalg
1.2.840.113549.1.9.16.3.5  = RSA_SMIMEalgESDH
1.2.840.113549.1.9.16.3.6  = RSA_SMIMEalgCMS3DESwrap
1.2.840.113549.1.9.16.3.7  = RSA_SMIMEalgCMSRC2wrap
1.2.840.113549.1.9.20      = PKCS_12_FRIENDLY_NAME_ATTR
1.2.840.113549.1.9.21      = PKCS_12_LOCAL_KEY_ID
1.2.840.113549.1.9.25.4    = PKCS_9_SEQUENCE_NUMBER
1.2.840.113549.1.10        = PKCS_10
1.2.840.113549.1.12        = PKCS_12
1.2.840.113549.1.12.1      = PKCS_12_PbeIds
1.2.840.113549.1.12.1.1    = PKCS_12_pbeWithSHA1And128BitRC4
1.2.840.113549.1.12.1.2    = PKCS_12_pbeWithSHA1And40BitRC4
1.2.840.113549.1.12.1.3    = PKCS_12_pbeWithSHA1And3KeyTripleDES
1.2.840.113549.1.12.1.4    = PKCS_12_pbeWithSHA1And2KeyTripleDES
1.2.840.113549.1.12.1.5    = PKCS_12_pbeWithSHA1And128BitRC2
1.2.840.113549.1.12.1.6    = PKCS_12_pbeWithSHA1And40BitRC2
1.2.840.113549.2           = RSA_HASH
1.2.840.113549.2.2         = RSA_MD2
1.2.840.113549.2.4         = RSA_MD4
1.2.840.113549.2.5         = RSA_MD5
1.2.840.113549.3           = RSA_ENCRYPT
1.2.840.113549.3.2         = RSA_RC2CBC
1.2.840.113549.3.4         = RSA_RC4
1.2.840.113549.3.7         = RSA_DES_EDE3_CBC
1.2.840.113549.3.9         = RSA_RC5_CBCPad
1.3.6.1.4.1.311            = Microsoft OID
1.3.6.1.4.1.311.2          = Authenticode
1.3.6.1.4.1.311.2.1.4      = INDIRECT_DATA
1.3.6.1.4.1.311.2.1.10     = SP_AGENCY_INFO
1.3.6.1.4.1.311.2.1.11     = STATEMENT_TYPE
1.3.6.1.4.1.311.2.1.12     = SP_OPUS_INFO
1.3.6.1.4.1.311.2.1.14     = CERT_EXTENSIONS
1.3.6.1.4.1.311.2.1.15     = PE_IMAGE_DATA
1.3.6.1.4.1.311.2.1.18     = RAW_FILE_DATA
1.3.6.1.4.1.311.2.1.19     = STRUCTURED_STORAGE_DATA
1.3.6.1.4.1.311.2.1.20     = JAVA_CLASS_DATA
1.3.6.1.4.1.311.2.1.21     = INDIVIDUAL_SP_KEY_PURPOSE
1.3.6.1.4.1.311.2.1.22     = COMMERCIAL_SP_KEY_PURPOSE
1.3.6.1.4.1.311.2.1.25     = CAB_DATA
1.3.6.1.4.1.311.2.1.26     = MINIMAL_CRITERIA
1.3.6.1.4.1.311.2.1.27     = FINANCIAL_CRITERIA
1.3.6.1.4.1.311.2.1.28     = LINK
1.3.6.1.4.1.311.2.1.29     = HASH_INFO
1.3.6.1.4.1.311.2.1.30     = SIPINFO
1.3.6.1.4.1.311.2.2        = CTL for Software Publishers Trusted CAs
1.3.6.1.4.1.311.2.2.1      = TRUSTED_CODESIGNING_CA_LIST
1.3.6.1.4.1.311.2.2.2      = TRUSTED_CLIENT_AUTH_CA_LIST
